capacity_kwh,soc0_pct,socT_pct,ambient_c,current_a,connector_temp_c,duration_min
33.3,58.4,97.5,13.3,26.0,32.6,228.6
43.6,8.7,83.5,24.7,26.5,49.9,398.9
54.8,46.7,83.2,1.7,11.5,17.6,561.9
97.7,47.9,97.1,38.4,29.9,64.0,605.9
36.3,28.8,91.4,28.0,20.3,48.9,430.7
89.2,71.0,94.9,22.3,31.7,50.5,331.3
36.4,28.4,94.9,39.7,29.7,68.7,344.0
49.7,41.9,92.3,-4.1,6.2,13.9,720.0
75.5,70.0,86.1,3.3,18.9,27.6,281.8
70.9,50.9,84.7,15.5,10.7,21.4,720.0
96.6,36.1,96.6,15.4,17.3,53.7,720.0
55.3,58.2,80.6,-4.5,17.0,19.1,262.9
95.4,67.3,89.4,38.0,25.7,52.6,368.7
94.4,68.4,93.6,2.0,13.4,30.9,720.0
78.4,68.5,80.4,12.0,9.9,36.0,258.1
25.5,34.7,86.5,36.8,27.1,68.6,173.2
84.6,79.3,85.5,30.3,14.6,63.6,227.7
92.5,24.6,87.2,17.4,22.1,32.3,720.0
63.8,20.4,95.7,23.6,28.4,59.1,627.9
39.0,11.1,88.4,4.6,24.0,16.1,442.6
37.7,23.9,99.2,39.0,11.0,69.0,720.0
88.3,43.7,89.7,26.4,31.6,46.5,461.7
30.6,58.0,88.3,37.9,10.0,53.3,358.4
65.5,30.7,84.8,44.9,12.3,87.9,720.0
39.5,24.5,80.5,19.6,8.4,50.3,720.0
46.9,59.7,91.2,8.2,24.1,28.1,277.9
98.3,35.5,95.1,-2.2,16.0,24.7,720.0
45.0,8.8,99.8,17.2,29.9,41.7,523.2
75.9,41.5,87.9,10.6,29.1,24.2,434.5
82.3,24.4,88.5,-4.8,19.9,8.6,720.0
45.9,56.7,89.2,28.6,27.6,46.6,197.3
35.1,40.8,82.0,19.8,19.7,53.2,219.4
82.7,46.1,99.1,23.7,17.9,52.5,720.0
58.5,62.0,96.7,29.0,12.0,41.7,720.0
45.9,15.3,97.0,37.2,9.0,63.4,720.0
40.1,74.3,94.4,27.6,22.8,55.0,207.6
98.8,59.6,85.1,28.6,7.0,59.9,720.0
73.1,27.1,80.9,6.4,27.5,47.0,501.6
63.8,15.2,81.1,18.7,18.2,39.9,680.1
32.7,78.6,96.4,31.8,19.4,59.4,158.8
93.3,75.4,96.7,13.9,16.1,41.2,654.5
49.3,16.3,96.5,8.8,22.1,38.7,682.3
84.1,46.7,89.8,16.4,15.5,48.6,720.0
92.8,71.2,82.9,31.5,21.0,57.3,194.7
39.6,23.1,94.4,19.9,13.7,37.9,720.0
98.3,31.2,98.9,14.5,11.3,47.9,720.0
92.0,21.7,82.7,35.9,17.8,57.0,720.0
67.0,72.7,80.9,18.2,11.4,41.3,168.1
79.0,34.1,93.8,10.1,17.9,32.8,720.0
45.1,58.9,82.0,35.2,13.4,74.3,317.7
79.0,41.9,81.0,15.7,25.6,49.6,364.1
56.8,17.0,85.1,19.9,14.9,50.6,720.0
48.7,51.2,89.2,6.7,14.5,16.1,493.6
77.0,22.3,92.3,39.7,23.3,59.9,720.0
53.1,18.7,98.8,43.3,18.9,70.3,720.0
77.5,21.6,86.2,36.4,20.9,65.8,720.0
88.7,33.8,82.4,11.2,22.1,40.5,663.5
44.6,30.6,95.1,11.5,23.8,42.2,440.6
39.7,23.8,80.6,0.2,24.1,24.4,289.7
48.3,65.3,93.4,35.3,25.0,64.8,233.8
56.2,8.6,87.8,42.3,29.2,73.7,583.5
79.4,58.2,91.4,4.8,21.5,23.0,564.5
57.2,48.2,84.3,39.3,27.3,68.0,266.1
76.7,25.9,83.5,5.3,11.8,27.9,720.0
99.6,52.8,95.2,0.4,10.4,17.2,720.0
41.8,76.9,87.7,32.7,11.6,57.9,210.9
81.6,50.0,89.0,8.2,13.6,33.2,720.0
60.2,28.5,96.0,31.7,22.7,65.2,720.0
55.8,74.5,94.5,17.1,25.3,41.3,231.3
69.7,16.1,94.8,23.2,8.9,56.9,720.0
33.0,5.1,91.3,-2.7,31.9,21.2,354.9
48.0,74.0,84.9,13.3,9.7,50.4,235.7
44.8,28.0,95.5,41.4,30.9,56.9,359.1
70.4,55.1,93.3,41.4,23.5,82.3,651.6
41.1,38.5,100.0,36.2,25.2,66.3,390.2
27.6,31.9,86.6,12.4,21.8,27.9,221.3
27.1,19.9,81.6,1.0,7.0,11.9,720.0
82.9,26.2,89.7,-3.3,12.8,5.0,720.0
76.0,60.4,80.4,-4.8,22.1,27.2,271.3
88.6,63.0,95.8,10.5,25.0,37.8,528.5
75.5,37.1,98.7,43.3,10.6,57.8,720.0
28.0,7.9,83.7,13.3,13.8,42.3,459.0
77.3,77.5,80.5,38.9,13.7,68.0,64.8
65.6,5.8,89.9,32.9,9.7,63.8,720.0
97.1,46.4,83.3,25.6,7.5,60.3,720.0
41.5,63.3,86.5,-0.0,23.5,43.1,179.8
29.9,63.1,88.1,3.0,24.3,27.2,127.6
87.3,18.3,86.2,16.7,22.0,41.5,720.0
56.1,20.7,83.0,29.9,11.2,37.7,720.0
59.7,37.7,87.4,-2.8,15.4,14.6,705.1
78.5,13.8,96.5,1.7,18.6,28.6,720.0
37.9,46.3,80.7,33.1,24.1,53.8,144.8
58.3,58.2,85.7,24.7,11.0,42.3,501.1
85.0,10.7,91.9,11.0,10.5,36.4,720.0
69.2,27.2,80.7,32.0,8.3,59.4,720.0
92.6,32.1,93.1,4.0,28.4,38.5,720.0
89.8,65.7,97.7,30.4,18.7,45.7,720.0
44.8,7.9,87.4,37.8,23.4,50.7,455.0
84.5,62.4,99.6,35.5,6.3,68.1,720.0
72.3,67.2,100.0,9.5,22.3,29.6,565.2
33.2,53.8,92.5,33.6,22.2,65.9,242.6
44.0,56.8,82.2,3.4,18.7,39.4,217.4
81.3,36.9,98.2,29.2,13.1,51.7,720.0
88.3,63.9,87.1,15.7,24.7,39.2,329.1
35.8,18.7,91.6,5.7,23.0,27.9,384.3
77.5,8.7,89.7,8.0,8.2,33.3,720.0
48.8,23.3,99.3,-2.9,21.1,37.3,720.0
37.9,77.8,87.8,9.1,26.2,33.7,88.8
31.5,43.5,84.8,4.0,25.6,32.3,186.1
31.5,12.5,88.2,2.2,26.8,23.0,281.5
59.2,17.3,93.5,43.3,21.6,71.9,720.0
32.8,20.7,91.8,-1.2,10.6,30.5,720.0
70.1,7.8,93.5,31.8,12.2,62.8,720.0
86.7,45.8,82.5,-1.3,14.2,34.0,720.0
56.1,7.3,99.9,11.1,25.0,17.4,720.0
71.1,41.3,96.6,43.7,19.5,83.6,720.0
